# time(1) RNAp_RNA(2) RNAp_DNA(3) DNAp_RNA(4) DNAp_DNA(5) para_RNA(6) para_DNA(7) RNAp_RNArecog(8) RNAp_DNArecog(9) RNAp_fold(10) DNAp_RNArecog(11) DNAp_DNArecog(12) DNAp_fold(13) para_fold(14) vesicle_pop(15) mean_vol(16) mean_target_vol(17) mean_repli_density(18)
55000 34321 8477 7221 23145 42963 9597 0.430375 0.363427 0 0.25181 0.966821 0 0 0 0 0 0 
56000 35271 9611 8417 25862 40520 9244 0.433818 0.372084 0 0.250533 0.96796 0 0 0 0 0 0 
57000 33201 9871 8145 27280 39031 8731 0.429341 0.374613 0 0.247498 0.969401 0 0 0 0 0 0 
58000 31218 9711 8219 26668 37068 8397 0.436721 0.383576 0 0.241998 0.966283 0 0 0 0 0 0 
59000 32106 9976 9024 28520 35355 9016 0.437343 0.388912 0 0.238635 0.966124 0 0 0 0 0 0 
60000 31799 9169 7829 24729 38522 8682 0.432841 0.395945 0 0.23452 0.9665 0 0 0 0 0 0 
61000 32713 10039 9081 27354 37180 9144 0.44014 0.383592 0 0.237412 0.96935 0 0 0 0 0 0 
62000 33355 9711 8515 26182 38475 9823 0.434991 0.39106 0 0.229695 0.970889 0 0 0 0 0 0 
63000 31315 8715 7686 27032 36985 9328 0.446011 0.352278 0 0.216047 0.972291 0 0 0 0 0 0 
64000 31534 8163 7364 25129 37424 7948 0.447876 0.36124 0 0.224934 0.973303 0 0 0 0 0 0 
65000 35635 8306 7725 23534 42040 7282 0.440855 0.351216 0 0.219908 0.972353 0 0 0 0 0 0 
66000 29571 7860 6703 21723 40562 7711 0.445916 0.366709 0 0.21711 0.972315 0 0 0 0 0 0 
67000 32066 8967 8194 26730 43542 8100 0.448284 0.362998 0 0.206926 0.970581 0 0 0 0 0 0 
68000 31218 9556 8782 28940 35948 8413 0.460999 0.384174 0 0.206713 0.972095 0 0 0 0 0 0 
69000 31457 8679 8118 26804 38385 7743 0.45445 0.349614 0 0.205632 0.971877 0 0 0 0 0 0 
70000 33053 9938 8719 28021 40055 7891 0.44524 0.361978 0 0.206759 0.967642 0 0 0 0 0 0 
71000 36100 8133 7332 26150 42345 8454 0.467129 0.317928 0 0.195219 0.969555 0 0 0 0 0 0 
72000 34054 8778 8117 23184 42891 7552 0.466592 0.336688 0 0.196088 0.967566 0 0 0 0 0 0 
73000 31248 8200 7513 24699 41450 7022 0.464323 0.315026 0 0.198331 0.966585 0 0 0 0 0 0 
74000 30160 7078 6650 23116 41236 6349 0.455232 0.312366 0 0.198553 0.966013 0 0 0 0 0 0 
75000 32920 8743 7973 24869 40088 6892 0.449394 0.339434 0 0.206365 0.966114 0 0 0 0 0 0 
76000 33413 10449 9189 27796 39210 8867 0.438281 0.367406 0 0.217133 0.969017 0 0 0 0 0 0 
77000 31353 9926 8845 28965 33975 8999 0.445605 0.358214 0 0.20711 0.970537 0 0 0 0 0 0 
78000 32387 9769 8446 27521 37124 7977 0.438956 0.317101 0 0.194441 0.970247 0 0 0 0 0 0 
79000 34983 9028 7960 26213 40724 8826 0.455229 0.295315 0 0.194406 0.96877 0 0 0 0 0 0 
80000 27136 9285 8388 27350 35173 8816 0.462852 0.329584 0 0.185269 0.966497 0 0 0 0 0 0 
81000 36001 7972 7360 22346 44398 7989 0.463363 0.253227 0 0.186004 0.965454 0 0 0 0 0 0 
82000 34294 7575 6646 20230 44899 6612 0.460008 0.270057 0 0.180275 0.968242 0 0 0 0 0 0 
83000 35255 8828 8109 25535 43953 7597 0.461988 0.279887 0 0.17935 0.96896 0 0 0 0 0 0 
84000 32196 9326 8596 26354 40355 7978 0.457897 0.315398 0 0.175424 0.968121 0 0 0 0 0 0 
85000 36724 7748 7100 24366 40103 7319 0.466673 0.245397 0 0.171081 0.967365 0 0 0 0 0 0 
86000 30067 6796 6302 21435 41846 6535 0.457199 0.275304 0 0.157221 0.967747 0 0 0 0 0 0 
87000 33317 7213 6968 23143 46046 7348 0.451294 0.268049 0 0.160833 0.971125 0 0 0 0 0 0 
88000 38650 6313 6150 20124 48632 6508 0.453432 0.228703 0 0.154758 0.971179 0 0 0 0 0 0 
89000 35916 6822 6415 21071 44050 6787 0.450135 0.241261 0 0.139163 0.971095 0 0 0 0 0 0 
90000 36136 6510 6364 21858 47671 5440 0.4452 0.224315 0 0.123463 0.970447 0 0 0 0 0 0 
91000 42130 6064 5410 18974 47529 4387 0.447776 0.197153 0 0.108477 0.971687 0 0 0 0 0 0 
92000 38002 6792 6863 23631 41334 4324 0.437459 0.221504 0 0.0979886 0.970185 0 0 0 0 0 0 
93000 32900 6508 6479 22550 43119 5440 0.436322 0.235806 0 0.094311 0.967856 0 0 0 0 0 0 
94000 39371 6493 6502 22802 48547 4156 0.443216 0.221868 0 0.0788175 0.965373 0 0 0 0 0 0 
95000 38198 6355 6596 23857 49295 3590 0.440722 0.21793 0 0.0786747 0.963402 0 0 0 0 0 0 
96000 33616 8038 8140 29088 40710 3460 0.433598 0.267558 0 0.065326 0.962723 0 0 0 0 0 0 
97000 33978 9198 9506 33175 39776 4531 0.431 0.286943 0 0.0664386 0.962039 0 0 0 0 0 0 
98000 33947 10508 10730 37209 37046 5114 0.430154 0.307088 0 0.0616213 0.963531 0 0 0 0 0 0 
99000 30318 10493 10535 35802 37396 5743 0.421575 0.332508 0 0.0629778 0.964782 0 0 0 0 0 0 
100000 35856 9462 10066 35112 36693 6088 0.441918 0.276727 0 0.0678287 0.965079 0 0 0 0 0 0 
101000 38268 10121 10779 36583 35925 5587 0.443323 0.268192 0 0.0687547 0.963362 0 0 0 0 0 0 
102000 31215 10221 10758 39009 35577 6000 0.444791 0.296068 0 0.067515 0.966005 0 0 0 0 0 0 
103000 36744 9652 10452 36321 38280 5814 0.442545 0.27449 0 0.0683072 0.96561 0 0 0 0 0 0 
104000 34904 8391 8416 31042 38985 5266 0.454191 0.2443 0 0.0693046 0.966002 0 0 0 0 0 0 
105000 37930 10123 9911 32115 42043 4387 0.436862 0.273992 0 0.0711943 0.968478 0 0 0 0 0 0 
106000 35297 10440 10015 35277 35045 5180 0.427383 0.292136 0 0.066232 0.972658 0 0 0 0 0 0 
107000 31136 10858 10325 40656 33935 5965 0.430075 0.307093 0 0.0639099 0.970207 0 0 0 0 0 0 
108000 40410 8924 9685 36439 34808 5201 0.449529 0.231055 0 0.0647033 0.971197 0 0 0 0 0 0 
109000 35067 10356 10773 39043 34749 5566 0.44471 0.283481 0 0.0678773 0.971477 0 0 0 0 0 0 
110000 36367 9463 10089 36098 34928 5619 0.449179 0.254858 0 0.0699771 0.970704 0 0 0 0 0 0 
111000 31042 8377 9024 32434 41581 5133 0.444066 0.26467 0 0.0744226 0.971337 0 0 0 0 0 0 
112000 38485 9149 9801 31610 40582 5200 0.445238 0.250242 0 0.0735359 0.971582 0 0 0 0 0 0 
113000 27586 8633 8337 32250 39271 5220 0.426772 0.275999 0 0.0701582 0.970593 0 0 0 0 0 0 
114000 30132 8048 8780 32358 40640 4992 0.441996 0.273043 0 0.0664973 0.970608 0 0 0 0 0 0 
